Input Name,Place Name,Address,Price Level,Types,Category,Website,Phone Number,Rating,Review Count,Opening Hours,Email,POS System,Loyalty Programs,Reservation Platform,Review Text,Review Author,Review Rating,Popular Dish/Drink,Intro Email Blurb
Golden Diner,Golden Diner,"123 Madison St, New York, NY 10002, USA",2,"restaurant, food, point_of_interest, establishment",BB1,http://www.goldendinerny.com/,(917) 472-7800,4.5,1631,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM",talkto@goldendinerny.com,Toast,,Resy,"There are no words to describe how AMAZINGLY GOOD this place is. The pancakes are an absolute must and add the jam if you'll like.

We also ordered the omelette and it was SO DELICIOUS. Specially the crispy fries they add to the dish.

And the pancakes... It has like a hint of lemon, which gives them a fresh touch that is to die for.

ADVICE: make a reservation as it gets super packed all the time!",Maho Hernández,5,pancakes,"Here is a draft personal-sounding email intro describing an experience with friends at the restaurant:

My friends and I recently tried the pancakes at Golden Diner and just loved the cozy, welcoming vibe and friendly service there!"
Casino,Empire City Casino,"810 Yonkers Ave, Yonkers, NY 10704, USA",,"casino, point_of_interest, establishment",Not a restaurant,https://empirecitycasino.mgmresorts.com/en.html,(914) 968-4200,3.9,14489,"Monday: 12:00 – 6:00 AM, 10:00 AM – 12:00 AM, Tuesday: 12:00 – 6:00 AM, 10:00 AM – 12:00 AM, Wednesday: 12:00 – 6:00 AM, 10:00 AM – 12:00 AM, Thursday: 12:00 – 6:00 AM, 10:00 AM – 12:00 AM, Friday: 12:00 – 6:00 AM, 10:00 AM – 12:00 AM, Saturday: 12:00 – 6:00 AM, 10:00 AM – 12:00 AM, Sunday: 12:00 – 6:00 AM, 10:00 AM – 12:00 AM",,,,,I visited the casino last night and had an amazing time in the entertainment lounge. Chrissy R and the Melodic Village Band really brought the vibes. There were so many people dancing and genuinely having a great time! Their song choices were on point and the singers were powerhouses. The entire band was fantastic! They interacted with the crowd a lot which was really cool and the crowd grew as the night went on. I would definitely go back just to see them perform again!,Tochi Shilow,5,Chrissy R and the Melodic Village Band,"Here is a draft email intro describing an experience with friends at Empire City Casino:

My friends and I had such a fun night out at Empire City Casino the other night! We grabbed a table while Chrissy R and the Melodic Village Band performed - their music and stage presence really brought great vibes to the lounge."
Tolo,Tolo,"28 Canal St, New York, NY 10002, USA",,"restaurant, point_of_interest, food, establishment",BB1,https://tolonyc.com/,,4.2,110,"Monday: 5:00 – 9:30 PM, Tuesday: 5:00 – 9:30 PM, Wednesday: 5:00 – 9:30 PM, Thursday: 5:00 – 10:00 PM, Friday: 5:00 – 10:00 PM, Saturday: 5:00 – 10:00 PM, Sunday: 5:00 – 9:30 PM",info@tolonyc.com,,,Resy,"We had the salt and pepper tofu, the sweet and sour fish, the cucumber and wood ear, and the little rice noodle.

I LOVE the salt and pepper tofu, executed to perfection. The sweet and sour fish was also delicious. I’ve never had the cucumber woodear before but they made it really well and appetizing. The rice noodle was good and we ended the night with the dessert (something w black tea and ice cream)",Thy Pham,5,salt and pepper tofu,"Here is a short personal-sounding email intro describing an experience I had with friends at Tolo while enjoying the salt and pepper tofu:

My friends and I recently tried the cozy restaurant Tolo and absolutely loved the crispy salt and pepper tofu!"
Chinatown,Chinatown,"Chinatown, New York, NY, USA",,"neighborhood, political",Not a restaurant,,,,,,,,,,,,,Orange chicken,"Here is a draft email intro describing a pleasant experience with friends at Chinatown restaurant:

My friends and I had such a nice time catching up over orange chicken at Chinatown last week. The cozy booths and attentive service made for a perfect Saturday night out."
Dim Sum Palace,Dim Sum Palace,"334 W 46th St, New York, NY 10036, USA",2,"restaurant, food, point_of_interest, establishment",BB1,https://www.dimsumpalace.com/,(646) 861-1910,4.4,2319,"Monday: 11:30 AM – 1:30 AM, Tuesday: 11:30 AM – 1:30 AM, Wednesday: 11:30 AM – 1:30 AM, Thursday: 11:30 AM – 1:30 AM, Friday: 11:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:30 AM",,,,,"Absolutely delicious food and an amazing experience! Our server was top-notch—super professional and lightning-fast in delivering our dinner. He anticipated our needs, refilling our water without us even having to ask! We can't wait to return for more incredible dishes when those cravings hit. This place is a must-visit!

We also were able to practice our Chinese with them : )",Daniel Barrientos,5,Dim sum,"Here is a draft personal-sounding email intro about enjoying dim sum with friends:

Last Friday I met up with a few friends at Dim Sum Palace. We ordered several dishes of dim sum including their signature items, and really enjoyed the cozy, bustling atmosphere and friendly service."
Dim Sum GoGo,Dim Sum Go Go,"5 E Broadway, New York, NY 10038, USA",2,"restaurant, point_of_interest, food, establishment",BB1,https://www.dimsumgogonyc.com/,(212) 732-0797,4.1,1510,"Monday: 11:00 AM – 8:45 PM, Tuesday: 11:00 AM – 8:45 PM, Wednesday: 11:00 AM – 8:45 PM, Thursday: 11:00 AM – 8:45 PM, Friday: 11:00 AM – 8:45 PM, Saturday: 11:00 AM – 8:45 PM, Sunday: 11:00 AM – 8:45 PM",info@dimsumgogonyc.com,,,Resy,"The food at this place is truly exceptional—delicious, well-prepared, and surprisingly affordable. However, there are some unexpected rules that must be followed during your visit, which can catch you off guard. I found myself waiting for about 20 minutes before being seated, but the anticipation only heightened my appetite for the fantastic dishes that awaited me.",Joanna K Staniszewska,5,"Based on the reviews, the most popular/most-mentioned dish or drink is the duck dumplings.","Here is a draft email intro describing a nice experience I had with friends:

Last weekend I met up with a few friends at Dim Sum Go Go. We ordered some duck dumplings to share and really enjoyed the cozy ambiance and friendly service."
Shanghai 21,Shanghai 21,"21 Mott St, New York, NY 10013, USA",1,"restaurant, food, point_of_interest, establishment",BB1,http://shanghai21togo.com/,(212) 766-6311,4.5,3120,"Monday: 11:00 AM – 8:30 PM, Tuesday: 11:00 AM – 8:30 PM, Wednesday: 11:00 AM – 8:30 PM, Thursday: 11:00 AM – 8:30 PM, Friday: 11:00 AM – 8:30 PM, Saturday: 11:00 AM – 8:30 PM, Sunday: 11:00 AM – 8:30 PM",,,,,Excellent authentic Chinese food with amazing price to value! The spicy dumplings were the best I ever had! The beef noodles and the Tso’s chicken were also wonderful. Food comes out quickly and although there was a waiting time it was absolutely worth it! Would come back again for sure.,Hiba Damati,5,scallion pancakes,"Here is a draft personal-sounding email intro about my experience at Shanghai 21 with friends:

My friends and I had the best time at Shanghai 21 last night! We ordered several dishes like the scallion pancakes and enjoyed the cozy, welcoming ambiance and excellent service."
Deluxe Green Bo,Deluxe Green Bo,"66 Bayard St, New York, NY 10013, USA",1,"meal_takeaway, restaurant, point_of_interest, food, establishment",BB1,https://deluxegreentogo.com/,(212) 625-2359,4.3,1408,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:30 PM, Saturday: 11:00 AM – 10:30 PM, Sunday: 11:00 AM – 10:00 PM",,,,,Amazing dumplings and bao at a good price. Taste is very authentic. Service was super fast: we got food within 3 minutes of ordering even when the restaurant is completely full. $7 minimum per person per table.,Kevin S,5,Soup dumplings,"Here is a draft personal-sounding email intro describing an experience with friends at Deluxe Green Bo. I tried to capture the casual, welcoming vibe while highlighting the popular soup dumplings dish:

My friends and I popped into Deluxe Green Bo last night and had the best time sharing several plates of their mouthwatering soup dumplings!"
Pings Seafood,Ping’s,"22 Mott St, New York, NY 10013, USA",2,"restaurant, food, point_of_interest, establishment",BB1,http://eatatpings.com/,(212) 602-9988,4.2,1466,"Monday: 11:00 AM – 9:30 PM, Tuesday: 11:00 AM – 9:30 PM, Wednesday: 11:00 AM – 9:30 PM, Thursday: 11:00 AM – 9:30 PM, Friday: 11:00 AM – 9:30 PM, Saturday: 10:00 AM – 9:30 PM, Sunday: 10:00 AM – 9:30 PM",pingsnyc@gmail.com,,,,"Ping’s is a classic Cantonese seafood restaurant that has been serving Chinatown since 1998. It’s well-known for its dim sum, fresh seafood, and extensive menu of Hong Kong-style dishes.
1.Authentic Dim Sum Experience:
The dim sum here is served traditionally, straight from the carts, steaming hot in bamboo baskets. You’ll find an array of classics like shrimp dumplings (har gow), pork buns, chicken feet, and turnip cakes. The freshness and variety are impressive, with a balance of flavors that feels authentic.
2.Cozy and Historic Ambiance:
The restaurant’s interior speaks of its legacy. The walls are adorned with photos of notable guests and memories that give it a charming, nostalgic vibe. It’s a welcoming touch that makes you feel part of something special.
3.Convenience for Cash-Only Guests:
Although Ping’s is cash-only, there’s an ATM conveniently located right at the entrance. It’s a thoughtful addition, especially for first-time visitors unaware of the policy.
To sum up, Ping’s delivers a true taste of Cantonese cuisine in the heart of Chinatown. Whether you’re a dim sum lover or a seafood enthusiast, this spot has something for everyone. With its long-standing reputation and authentic flavors, it’s no wonder this place remains a favorite.",Apichart Meredith,5,dumplings,"Here is a draft personal-sounding email intro describing an experience I had with friends at Ping's restaurant:

My friends and I recently tried the delicious steamed shrimp dumplings at Ping’s. We loved the cozy ambiance and attentive service."
Uncle Lou,Uncle Lou 快樂人,"73 Mulberry St, New York, NY 10013, USA",2,"restaurant, point_of_interest, food, establishment",BB1,http://www.unclelounyc.com/,(212) 966-5538,4.5,1801,"Monday: 11:00 AM – 10:00 PM, Tuesday: Closed, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 11:00 AM – 10:00 PM",info@unclelounyc.com,,,,"Excellently executed food. I really mean executed, I think they have great ingredients but it's their execution that creates a set of constantly balanced dishes.

If you want a direct recommendation, the snow peas are crisp while cooked to flavorful. The young chow fried rice has great wok hei and separation of grains. The honey walnut shrimp is really meaty and thus not too sweet.

I would go back to try a set of new dishes because I really think it's their practice and skill that make me want to go back.",Syed Ashrafulla,5,"Based on the reviews, the dish that seems most popular or most-mentioned is the Honey Walnut Shrimp.","Last weekend a group of friends and I checked out Uncle Lou's in Chinatown. We ordered the honey walnut shrimp which was delicious, and really enjoyed the festive yet laidback atmosphere and friendly service."
Spicy Village,Spicy Village,"68 Forsyth St B, New York, NY 10002, USA",1,"restaurant, food, point_of_interest, establishment",BB1,https://spicy-village.com/,(212) 625-8299,4.5,1382,"Monday: 10:30 AM – 10:30 PM, Tuesday: 10:30 AM – 10:30 PM, Wednesday: 10:30 AM – 10:30 PM, Thursday: 10:30 AM – 10:30 PM, Friday: 10:30 AM – 10:30 PM, Saturday: 10:30 AM – 10:30 PM, Sunday: Closed",,,,,"I went today around 1 pm and waited less than 5 minutes for a table. I got the beef pancake and spicy chicken soup and omg… amazing. The hand pulled noodles were so fresh, chicken was tender and the beef pancakes were so warm and savory. Both dishes tasted delicious with their chili oil. I cannot wait to go back!",Mysha Azzad,5,Big Tray Chicken,Last weekend my friends and I checked out this hole-in-the-wall Szechuan place called Spicy Village. We ordered the popular Big Tray Chicken dish - it was amazing!
Buddha Bodai,The Original Buddha Bodai Kosher Vegetarian Restaurant 佛菩提,"5 Mott St, New York, NY 10013, USA",1,"restaurant, food, point_of_interest, establishment",BB1,http://www.buddha-bodai.com/,(212) 566-8388,4.3,2065,"Monday: 11:00 AM – 9:15 PM, Tuesday: 11:00 AM – 9:15 PM, Wednesday: 11:00 AM – 9:15 PM, Thursday: 11:00 AM – 9:15 PM, Friday: 11:00 AM – 9:15 PM, Saturday: 10:00 AM – 9:15 PM, Sunday: 10:00 AM – 9:15 PM",info@chinatownvegetarian.com,,,Resy,"A modern dim sum spot featuring all-vegetarian dishes without compromising on flavor. The restaurant is accommodating to dietary needs with a variety of soy-free options available that are just as delicious. Highlights of the meal included the cumin “lamb,” salt & pepper “pork” ribs, pea shoots, and the soup dumplings - so flavorful that it was hard to believe they were meatless! Overall, a satisfying experience and an excellent choice for those craving authentic dim sum flavors while catering to vegetarian preferences.",Bill Wang,5,"Based on the reviews, the dish or drink that seems most popular or most-mentioned is the soup dumplings.","Here is a draft personal-sounding email intro about my experience:

My friends and I enjoyed a lovely vegetarian feast at The Original Buddha Bodai restaurant last week. We ordered several dishes including the delicious soup dumplings, which had so much flavor that they seemed almost like the non-vegetarian version."
Thai Diner,Thai Diner,"186 Mott St, New York, NY 10012, USA",2,"restaurant, food, point_of_interest, establishment",BB1,http://www.thaidiner.com/,(646) 559-4140,4.4,2066,"Monday: 8:30 AM – 10:30 PM, Tuesday: 8:30 AM – 10:30 PM, Wednesday: 8:30 AM – 10:30 PM, Thursday: 8:30 AM – 11:30 PM, Friday: 8:30 AM – 11:30 PM, Saturday: 10:00 AM – 11:30 PM, Sunday: 10:00 AM – 10:30 PM",hi@thaidiner.com,Toast,,Resy,"Man oh man where do I even start.. First of all if you plan to eat here on a weekend or even during business hours be prepared to wait! We didn’t have any reservations so we ended up having to wait around 1-1.5 hours for a table (understandable because they were extremely busy) I was hesitant waiting at first but ended up saying screw it and waited! Finally got in and started ordering what we could to finally dig in. The TOM YUM BISQUE is absolutely delicious. It’s sweet, citrusy, and a little spicy, absolutely perfect combo. Broiled/charred Octopus absolutely amazing, not fishy and very tender and soft and now chewy and plastic feeling. PHAT THAI was absolutely nearly perfect. Noodles were cooked perfectly, seasoning was just right not too salty and not bland, has a very nice char taste to it. Papaya Salad was amazing wish it did have a little more spice to it but overall great plate. The Beef noodle soup was super rich in flavor and tasted super clean. Overall the experience was amazing i would highly recommend this place to everyone. Just remember there might be some waiting, but it will all be worth it in the end!",Peter Truong,5,Tom yum bisque,"Here is a draft personal email intro describing an experience at Thai Diner with some friends:

My friends and I had such a lovely time trying that delicious Tom yum bisque at the cozy Thai Diner last week! The attentive service made us feel right at home."
Torrisi,Torrisi,"275 Mulberry St, New York, NY 10012, USA",,"restaurant, food, point_of_interest, establishment",BB1,https://www.torrisinyc.com/?utm_medium=Click&utm_source=GoogleMyBusiness,(212) 254-3000,4.6,579,"Monday: 5:00 – 11:30 PM, Tuesday: 11:30 AM – 2:00 PM, 5:00 – 11:30 PM, Wednesday: 11:30 AM – 2:00 PM, 5:00 – 11:30 PM, Thursday: 11:30 AM – 2:00 PM, 5:00 – 11:30 PM, Friday: 11:30 AM – 2:00 PM, 5:00 – 11:30 PM, Saturday: 11:30 AM – 2:00 PM, 5:00 – 11:30 PM, Sunday: Closed",events@majorfood.com,,,Resy,"Torrisi deserves all the hype and more. I was exceedingly impressed with my entire dining experience here. I came for lunch and sat at the bar received excellent service from every single person, everyone has proper menu knowledge, the service was attentive but not , the lighting is absolutely stunning, the entire interior is absolutely stunning, comfortable, upscale, but also felt like home in a way. The food? Impeccable. The duck was the best duck I've ever had and the tortellini is that good. You actually can't even fathom how good this tortellini is I promise you. The Affogato is an absolute must it blew my mind I'm not exaggerating.
Thank you to Torrisi for one of the most perfect meals of my life",jade,5,"Based on the reviews, the most popular/most-mentioned dish seems to be the ""Tortellini Pomodoro"".","Here is a draft personal email intro describing my experience:

My friends and I had such a lovely time catching up over dinner at Torrisi last night. We adored the cozy atmosphere and stellar service."
Torrisi,Torrisi,"275 Mulberry St, New York, NY 10012, USA",,"restaurant, food, point_of_interest, establishment",BB1,https://www.torrisinyc.com/?utm_medium=Click&utm_source=GoogleMyBusiness,(212) 254-3000,4.6,579,"Monday: 5:00 – 11:30 PM, Tuesday: 11:30 AM – 2:00 PM, 5:00 – 11:30 PM, Wednesday: 11:30 AM – 2:00 PM, 5:00 – 11:30 PM, Thursday: 11:30 AM – 2:00 PM, 5:00 – 11:30 PM, Friday: 11:30 AM – 2:00 PM, 5:00 – 11:30 PM, Saturday: 11:30 AM – 2:00 PM, 5:00 – 11:30 PM, Sunday: Closed",reservations@torrisinyc.com,,,Resy,"Torrisi deserves all the hype and more. I was exceedingly impressed with my entire dining experience here. I came for lunch and sat at the bar received excellent service from every single person, everyone has proper menu knowledge, the service was attentive but not , the lighting is absolutely stunning, the entire interior is absolutely stunning, comfortable, upscale, but also felt like home in a way. The food? Impeccable. The duck was the best duck I've ever had and the tortellini is that good. You actually can't even fathom how good this tortellini is I promise you. The Affogato is an absolute must it blew my mind I'm not exaggerating.
Thank you to Torrisi for one of the most perfect meals of my life",jade,5,"Based on the reviews, the most popular/most-mentioned dish seems to be the ""Tortellini Pomodoro"".","Here is a draft personal email intro describing my experience:

My friends and I had such a lovely time catching up over dinner at Torrisi last night. We adored the cozy atmosphere and stellar service."
Estela,Estela,"47 E Houston St 1st floor, New York, NY 10012, USA",3,"restaurant, point_of_interest, food, establishment",BB1,http://estelanyc.com/,(212) 219-7693,4.5,1317,"Monday: 5:00 – 10:30 PM, Tuesday: 5:00 – 10:30 PM, Wednesday: 5:00 – 10:30 PM, Thursday: 5:00 – 10:30 PM, Friday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM, Saturday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM, Sunday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM",sarah@wickedgm.com,Toast,,OpenTable,"A great dining experience. The food is all excellent and very well seasoned. (We almost found the chicory salad over-seasoned if anything). But otherwise everything was delicious. Highlights for us were the squid ink rice and the chocolate cake. The ricotta dumplings were also delicious. And the dishes were all unique.

Service was good. There's a nice vibe, small and intimate. And cocktails were great. Service was a bit slow on drinks.",Katie Horsfield,5,Endive salad,"Here is a draft personal-sounding email intro about my experience:

My friends and I had such a lovely time at Estela the other night. We ordered the endive salad and really enjoyed the cozy, intimate ambiance."
Estela,Estela,"47 E Houston St 1st floor, New York, NY 10012, USA",3,"restaurant, point_of_interest, food, establishment",BB1,http://estelanyc.com/,(212) 219-7693,4.5,1317,"Monday: 5:00 – 10:30 PM, Tuesday: 5:00 – 10:30 PM, Wednesday: 5:00 – 10:30 PM, Thursday: 5:00 – 10:30 PM, Friday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM, Saturday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM, Sunday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM",david@gruberstrategies.com,Toast,,OpenTable,"A great dining experience. The food is all excellent and very well seasoned. (We almost found the chicory salad over-seasoned if anything). But otherwise everything was delicious. Highlights for us were the squid ink rice and the chocolate cake. The ricotta dumplings were also delicious. And the dishes were all unique.

Service was good. There's a nice vibe, small and intimate. And cocktails were great. Service was a bit slow on drinks.",Katie Horsfield,5,Endive salad,"Here is a draft personal-sounding email intro about my experience:

My friends and I had such a lovely time at Estela the other night. We ordered the endive salad and really enjoyed the cozy, intimate ambiance."
Estela,Estela,"47 E Houston St 1st floor, New York, NY 10012, USA",3,"restaurant, point_of_interest, food, establishment",BB1,http://estelanyc.com/,(212) 219-7693,4.5,1317,"Monday: 5:00 – 10:30 PM, Tuesday: 5:00 – 10:30 PM, Wednesday: 5:00 – 10:30 PM, Thursday: 5:00 – 10:30 PM, Friday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM, Saturday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM, Sunday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM",events@mattos-hospitality.com,Toast,,OpenTable,"A great dining experience. The food is all excellent and very well seasoned. (We almost found the chicory salad over-seasoned if anything). But otherwise everything was delicious. Highlights for us were the squid ink rice and the chocolate cake. The ricotta dumplings were also delicious. And the dishes were all unique.

Service was good. There's a nice vibe, small and intimate. And cocktails were great. Service was a bit slow on drinks.",Katie Horsfield,5,Endive salad,"Here is a draft personal-sounding email intro about my experience:

My friends and I had such a lovely time at Estela the other night. We ordered the endive salad and really enjoyed the cozy, intimate ambiance."
Estela,Estela,"47 E Houston St 1st floor, New York, NY 10012, USA",3,"restaurant, point_of_interest, food, establishment",BB1,http://estelanyc.com/,(212) 219-7693,4.5,1317,"Monday: 5:00 – 10:30 PM, Tuesday: 5:00 – 10:30 PM, Wednesday: 5:00 – 10:30 PM, Thursday: 5:00 – 10:30 PM, Friday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM, Saturday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM, Sunday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM",info@estelanyc.com,Toast,,OpenTable,"A great dining experience. The food is all excellent and very well seasoned. (We almost found the chicory salad over-seasoned if anything). But otherwise everything was delicious. Highlights for us were the squid ink rice and the chocolate cake. The ricotta dumplings were also delicious. And the dishes were all unique.

Service was good. There's a nice vibe, small and intimate. And cocktails were great. Service was a bit slow on drinks.",Katie Horsfield,5,Endive salad,"Here is a draft personal-sounding email intro about my experience:

My friends and I had such a lovely time at Estela the other night. We ordered the endive salad and really enjoyed the cozy, intimate ambiance."
Rubirosa,Rubirosa,"235 Mulberry St, New York, NY 10012, USA",2,"meal_takeaway, store, restaurant, point_of_interest, food, establishment",BB1,https://www.rubirosanyc.com/,(212) 965-0500,4.6,4922,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 11:00 PM",info@rubirosanyc.com,Toast,,Resy,"Wow what can I say about this place that nobody else has! The service was incredible, from spot on recommendations, attentive (and meaningful) check ins, to even just being able to get me a great spot to eat (slight glitch on my part with reservation for two but I was only one).

Those who complain about the pizza being like a cracker… that’s because it is, it’s super thin and crispy. I actually think the style is named such and that you can find recipes online. It is amazing! I nearly ate the entire pie myself, on top of the most delicious pasta I’ve ever had. Short rib… and wow, if it’s on the specials list - get it. Cheers and happy eating.",Mark Fournier,5,Tie-Dye Pizza,"Here is a personal-sounding email intro describing an experience I had with friends at Rubirosa:

My friends and I had the best time trying the famous Tie-Dye pizza at Rubirosa last night! The cozy, vibrant atmosphere and friendly service made for an unforgettable dining experience."
Kimika,Kimika,"40 Kenmare St, New York, NY 10012, USA",3,"restaurant, food, point_of_interest, establishment",BB1,https://www.kimikanyc.com/,(212) 256-9280,4.5,761,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 10:00 PM, Friday: 5:00 – 10:30 PM, Saturday: 11:00 AM – 3:00 PM, 5:00 – 10:30 PM, Sunday: Closed",social@kimika.nyc,,,Resy,"This place is good vibes. Beautiful aesthetic and fun and intriguing food options! The curry arancini was amazing. It’s like tapas/family style (but not family sized portions), so get a good group of people to share a bunch of dishes with!",MICHELE SPARROW,5,soy butter bigoli,Last weekend my friends and I checked out this new place called Kimika. We ordered the soy butter bigoli which was pretty tasty. The servers were super friendly and the ambiance with the beautiful aesthetics made it a fun night out.
Pasquale Jones,Pasquale Jones,"187 Mulberry St, New York, NY 10012, USA",3,"restaurant, food, point_of_interest, establishment",BB1,http://www.pasqualejones.com/,(917) 596-0716,4.4,758,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 10:00 PM, Friday: 12:00 – 3:00 PM, 5:00 – 11:00 PM, Saturday: 12:00 – 3:00 PM, 5:00 – 11:00 PM, Sunday: 12:00 – 3:00 PM, 5:00 – 10:00 PM",events@dhgnyc.com,,inKind,Resy,"Haven’t wrote a review in years. This place has top tier service and food. We had the heirloom tomato salad, burrata & anchovy pizza, squash pasta and chicken. Best meal I’ve had in a while.",Sharice Dodson,5,burrata & anchovy pizza,"Here is a draft personal-sounding email intro describing an experience with friends at Pasquale Jones over their popular burrata & anchovy pizza:

Last Saturday, my friends and I shared some great eats at Pasquale Jones. We got cozy in a booth and enjoyed their burrata and anchovy pizza along with excellent service."
Café Habana,Café Habana,"17 Prince St, New York, NY 10012, USA",2,"restaurant, point_of_interest, food, establishment",BB1,http://www.cafehabana.com/,(212) 625-2001,4.5,3338,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 10:00 AM – 11:00 PM, Sunday: 10:00 AM – 10:00 PM",,,inKind,Resy,"Wanted to come here for years but never did and finally my dad mentioned it while in town and we decided to go. The food was so so amazing, we both got the cubano with elote on the side. The price was part of my initial hesitation but as soon as I started eating I realized it was pretty worth it at $20 a person which isn’t so outrageous. The staff was super nice and friendly and the whole vibe was very fun. Definitely want to come back to try the breakfast at some point and will absolutely be back for the elote.",Star Fitzmaurice,5,elote,"Here is a draft personal email intro about my experience at Café Habana with friends:

My friends and I grabbed a bite at this Cuban joint called Café Habana last night. We tried the popular elote corn on the cob, which was delicious, and the staff provided excellent service in the cozy atmosphere."
Emporio,Emporio,"231 Mott St, New York, NY 10012, USA",2,"bar, restaurant, point_of_interest, food, establishment",BB3,http://www.emporiony.com/,(212) 966-1234,4.5,1270,"Monday: 12:00 – 11:00 PM, Tuesday: 12:00 – 11:00 PM, Wednesday: 12:00 – 11:00 PM, Thursday: 12:00 – 11:00 PM, Friday: 12:00 – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 11:00 PM",,,,OpenTable,Absolutely amazing place for Italian food. The pizza tastes like the ones I’ve had in Italy and the ambience was perfect for a rainy day. The waiter was super nice and attentive. Highly recommend this place for a nice lunch or dinner! Will be back.,Semanti Ahmed,5,pizza,"Here is a draft personal email intro describing an experience at Emporio with friends:

Last Friday I met up with a few friends at Emporio and we had such a nice time enjoying some wine and splitting a few pizzas, including the delicious carbonara."
Lovely Day,Lovely Day,"196 Elizabeth St, New York, NY 10012, USA",1,"restaurant, point_of_interest, food, establishment",BB1,https://www.lovelydaynyc.com/,(212) 925-3310,4.1,446,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 12:00 – 10:00 PM",events@lovelydaynyc.com,,,Resy,"Something about Lovely Day makes it so cozy, understated, and such a great place for dinner. My love for Thai food meant I have some very high expectations, and this place did not disappoint.

It is hard to define Lovely Day in the first place. It is, for sure, not trendy. But despite its dim & aging interior, it is not mundane either. In fact, the crowd we've seen is still overwhelmingly the young and hip Nolita type. They approved this over $60 brunch? Unknowable universe!

This place passed my curry test for how spicy it was. I did not see this coming - it was disguised as a green curry, which is typically less spicy than red curry. What kind of chili was that?

They also make some of the best Pad Thais out there. It has a chewy texture coupled with the distinctive sour taste that saves it from being too dense, a mistake many Thai places make too often. Coupled with the coconut milk soup and you just had a happier dinner than you might ask for.

I heard many locals longed to keep this place a secret, and I can see why. But seeing how much dedication this place poured into itself, I'd hate for it to go out of business. Kind reminder that they have a bar too if you need some liquor with your Thai ;)",Michael Davis,5,"Based on the reviews, the most popular/most-mentioned dish or drink at Lovely Day is the green curry.","Here is a draft personal-sounding email intro describing an experience with friends at Lovely Day:

After a long week, I met up with friends at Lovely Day. We ordered several dishes like the popular green curry, and truly enjoyed the cozy ambiance and attentive service."
