whole name,name,address,price level,types,service type,website,phone number,rating,review count,opening hours,Category
Perros y Vainas 10004 greater NYC area,Perros y Vainas,"10 Peter Minuit Plz, New York, NY 10004, USA",,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://www.perros.nyc/,(929) 678-1993,4.6,135.0,"Monday: 8:00 AM – 6:00 PM, Tuesday: 8:00 AM – 6:00 PM, Wednesday: 8:00 AM – 6:00 PM, Thursday: 8:00 AM – 6:00 PM, Friday: 8:00 AM – 6:00 PM, Saturday: 8:00 AM – 6:00 PM, Sunday: 8:00 AM – 6:00 PM",BB1
Candy 02184 greater NYC area,Sweet Palace,"S Shore Plaza Rd, Braintree, MA 02184, USA",,"['food', 'store', 'point_of_interest', 'establishment']",Unknown,https://sweetpalacecandy.shop/,(508) 863-1429,1.4,38.0,"Monday: 10:00 AM – 8:00 PM, Tuesday: 10:00 AM – 8:00 PM, Wednesday: 10:00 AM – 8:00 PM, Thursday: 10:00 AM – 8:00 PM, Friday: 10:00 AM – 9:00 PM, Saturday: 10:00 AM – 9:00 PM, Sunday: 11:00 AM – 6:00 PM",BB2
Nadas - Rainbow Gluten Free Empanadas 10007 greater NYC area,Nadas - Rainbow Gluten Free Empanadas,"48 Greenwich Ave, New York, NY 10011, USA",2.0,"['restaurant', 'cafe', 'point_of_interest', 'store', 'food', 'establishment']",Likely Full Service,http://nadas.nyc/home,(646) 416-4346,4.7,200.0,"Monday: 10:00 AM – 8:00 PM, Tuesday: 10:00 AM – 8:00 PM, Wednesday: 10:00 AM – 8:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: Closed",BB1
Deluxe Green Bo 10013 greater NYC area,Deluxe Green Bo,"66 Bayard St, New York, NY 10013, USA",1.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",Quick Service,https://deluxegreentogo.com/,(212) 625-2359,4.3,1374.0,,BB1
Parm 10012 greater NYC area,Parm Mulberry Street,"248 Mulberry St, New York, NY 10012, USA",2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://www.parmitalian.com/?utm_medium=Click&utm_source=GoogleMyBusiness,(212) 993-7189,4.3,962.0,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 11:00 AM – 10:00 PM",BB1
Fulton Burger - Dumbo 10038 greater NYC area,Fulton Burger,"17 Old Fulton St, Brooklyn, NY 11201, USA",2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://fultonburgerexpress.com/,(347) 799-2217,3.9,255.0,"Monday: 9:00 AM – 5:00 PM, Tuesday: Closed, Wednesday: Closed, Thursday: 9:00 AM – 5:00 PM, Friday: Closed, Saturday: Closed, Sunday: 9:00 AM – 5:00 PM",BB3
Domo Sushi 10013 greater NYC area,DOMODOMO New York,"140 W Houston St, New York, NY 10012, USA",3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Full Service,http://www.domodomonyc.com/,(646) 707-0301,4.5,1324.0,"Monday: 12:00 – 2:30 PM, 5:00 – 9:00 PM, Tuesday: 12:00 – 2:30 PM, 5:00 – 9:00 PM, Wednesday: 12:00 – 2:30 PM, 5:00 – 9:00 PM, Thursday: 12:00 – 2:30 PM, 5:00 – 9:15 PM, Friday: 12:00 – 2:30 PM, 5:00 – 10:00 PM, Saturday: 12:00 – 2:30 PM, 5:00 – 10:00 PM, Sunday: 12:00 – 2:30 PM, 5:00 – 9:00 PM",BB1
Zucker’s Bagels & Smoked Fish 10007 greater NYC area,Zucker's Bagels & Smoked Fish,"143 Chambers St, New York, NY 10007, USA",2.0,"['meal_takeaway', 'bakery', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Quick Service,http://www.zuckersbagels.com/,(212) 608-5844,4.0,1190.0,"Monday: 7:00 AM – 5:30 PM, Tuesday: 7:00 AM – 5:30 PM, Wednesday: 7:00 AM – 5:30 PM, Thursday: 7:00 AM – 5:30 PM, Friday: 7:00 AM – 5:30 PM, Saturday: 7:00 AM – 2:30 PM, Sunday: 7:00 AM – 2:30 PM",BB1
Scalini Fedeli 10013 greater NYC area,Scalini Fedeli,"165 Duane St, New York, NY 10013, USA",3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Full Service,https://scalinifedeli.com/,(212) 528-0400,4.8,459.0,"Monday: Closed, Tuesday: 5:30 – 9:00 PM, Wednesday: 5:30 – 9:00 PM, Thursday: 5:30 – 9:00 PM, Friday: 5:30 – 10:00 PM, Saturday: 5:30 – 10:00 PM, Sunday: 4:30 – 8:30 PM",BB1
Kisa 10002 greater NYC area,Kisa,"205 Allen St, New York, NY 10002, USA",,"['restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,https://www.kisaus.com/,,4.6,235.0,"Monday: 5:00 – 11:00 PM, Tuesday: 5:00 – 11:00 PM, Wednesday: 5:00 – 11:00 PM, Thursday: 5:00 – 11:00 PM, Friday: 11:00 AM – 2:30 PM, 5:00 – 11:00 PM, Saturday: 11:00 AM – 2:30 PM, 5:00 – 11:00 PM, Sunday: 11:00 AM – 2:30 PM, 5:00 – 11:00 PM",BB1
Maman-UWS 11222 greater NYC area,maman,"429 Amsterdam Ave, New York, NY 10024, USA",2.0,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",Likely Full Service,https://mamannyc.com/locations/upper-west-side,(917) 472-7785,4.1,316.0,"Monday: 7:30 AM – 6:00 PM, Tuesday: 7:30 AM – 6:00 PM, Wednesday: 7:30 AM – 6:00 PM, Thursday: 7:30 AM – 6:00 PM, Friday: 7:30 AM – 6:00 PM, Saturday: 8:00 AM – 6:00 PM, Sunday: 8:00 AM – 6:00 PM",BB1
Shu Jiao Fu Zhou 10002 greater NYC area,Shu Jiao Fu Zhou,"295 Grand St, New York, NY 10002, USA",1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://www.shujiaony.com/,(212) 625-2532,4.6,2260.0,"Monday: 8:30 AM – 8:00 PM, Tuesday: 8:30 AM – 8:00 PM, Wednesday: 8:30 AM – 8:00 PM, Thursday: 8:30 AM – 8:00 PM, Friday: 8:30 AM – 8:00 PM, Saturday: 8:30 AM – 8:00 PM, Sunday: 8:30 AM – 8:00 PM",BB1
The Granddaddy 10002 greater NYC area,The Granddaddy,"290 Grand St, New York, NY 10002, USA",1.0,"['cafe', 'food', 'point_of_interest', 'establishment']",Unknown,http://thegranddaddy.nyc/,(917) 388-2233,4.2,259.0,,BB2
Beyond The Pale  greater NYC area,Beyond The Pale,"53 Spring St, New York, NY 10012, USA",,"['bar', 'point_of_interest', 'establishment']",Unknown,http://www.beyondthepalenyc.com/,,4.3,175.0,"Monday: 4:30 PM – 12:00 AM, Tuesday: 4:30 PM – 12:00 AM, Wednesday: 4:30 PM – 1:00 AM, Thursday: 3:30 PM – 1:00 AM, Friday: 3:30 PM – 2:00 AM, Saturday: 1:30 PM – 2:00 AM, Sunday: 1:30 PM – 12:00 AM",BB3
Kiki's 10002 greater NYC area,Kiki's,"130 Division St, New York, NY 10002, USA",2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://kikisnyc.com/,(646) 882-7052,4.5,2091.0,"Monday: 12:00 – 11:00 PM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 12:00 PM – 12:00 AM, Sunday: 12:00 – 11:00 PM",BB1
Mamo  greater NYC area,Mamo,"323 W Broadway, New York, NY 10013, USA",3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Full Service,https://www.mamorestaurant.com/,(646) 964-4641,4.4,666.0,"Monday: 12:00 – 3:30 PM, 5:30 – 10:00 PM, Tuesday: 12:00 – 3:30 PM, 5:30 – 10:30 PM, Wednesday: 12:00 – 3:30 PM, 5:30 – 10:30 PM, Thursday: 12:00 – 3:30 PM, 5:30 – 11:00 PM, Friday: 12:00 – 3:30 PM, 5:30 – 11:30 PM, Saturday: 12:00 – 3:30 PM, 5:30 – 11:30 PM, Sunday: 12:00 – 3:30 PM, 5:30 – 10:00 PM",BB1
Nom Wah Group 10012 greater NYC area,Nom Wah Nolita,"10 Kenmare St, New York, NY 10012, USA",1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://nomwah.com/,(646) 478-8242,4.1,560.0,"Monday: 11:30 AM – 9:45 PM, Tuesday: 11:30 AM – 9:45 PM, Wednesday: 11:30 AM – 9:45 PM, Thursday: 11:30 AM – 9:45 PM, Friday: 11:30 AM – 9:45 PM, Saturday: 11:30 AM – 9:45 PM, Sunday: 11:30 AM – 9:45 PM",BB1
Hamburger America  greater NYC area,Hamburger America,"155 W Houston St, New York, NY 10012, USA",1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://hamburgeramerica.com/,,4.5,1298.0,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 10:00 PM",BB1
The Up & Up 10012 greater NYC area,The Up & Up,"116 MacDougal St, New York, NY 10012, USA",2.0,"['night_club', 'bar', 'point_of_interest', 'establishment']",Unknown,https://www.upandupnyc.com/,(212) 260-3000,4.5,981.0,"Monday: 5:00 PM – 1:00 AM, Tuesday: 5:00 PM – 1:00 AM, Wednesday: 5:00 PM – 1:00 AM, Thursday: 5:00 PM – 2:00 AM, Friday: 5:00 PM – 2:00 AM, Saturday: 4:00 PM – 2:00 AM, Sunday: 4:00 PM – 1:00 AM",BB3
Juliana’s 10038 greater NYC area,Juliana’s,"19 Old Fulton St, Brooklyn, NY 11201, USA",2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://www.julianaspizza.com/,(718) 596-6700,4.6,5995.0,"Monday: 11:30 AM – 3:15 PM, 4:00 – 9:00 PM, Tuesday: 11:30 AM – 3:15 PM, 4:00 – 9:00 PM, Wednesday: 11:30 AM – 3:15 PM, 4:00 – 9:00 PM, Thursday: 11:30 AM – 3:15 PM, 4:00 – 9:00 PM, Friday: 11:30 AM – 3:15 PM, 4:00 – 9:00 PM, Saturday: 11:30 AM – 3:15 PM, 4:00 – 9:00 PM, Sunday: 11:30 AM – 3:15 PM, 4:00 – 9:00 PM",BB1
Thelewala 10012 greater NYC area,Thelewala,"112 MacDougal St, New York, NY 10012, USA",1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://thelewalany.com/,(212) 614-9100,4.3,911.0,"Monday: 11:00 AM – 2:00 AM, Tuesday: 11:00 AM – 2:00 AM, Wednesday: 11:00 AM – 2:00 AM, Thursday: 11:00 AM – 2:00 AM, Friday: 11:00 AM – 4:00 AM, Saturday: 11:00 AM – 4:00 AM, Sunday: 11:00 AM – 4:00 AM",BB1
Tacombi Williamsburg 10002 greater NYC area,Tacombi,"267 Elizabeth St, New York, NY 10012, USA",2.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,https://www.tacombi.com/?utm_source=gmb&utm_medium=yext&y_source=1_NDc4NjI0MzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(646) 397-6889,4.4,2265.0,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 11:00 PM",BB1
Vestry 10013 greater NYC area,Vestry Street,"Vestry St, New York, NY 10013, USA",,['route'],Unknown,,,,,,Not a restaurant
L’Amore Restaurant 10013 greater NYC area,L’Amore Restaurant,"171 Mulberry St, New York, NY 10013, USA",2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://lamoreristorante.com/,(212) 810-6063,4.6,2189.0,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 11:00 PM",BB1
Kossar’s Bagels & Bialys 10002 greater NYC area,Kossar's Bagels & Bialys (LES),"367 Grand St, New York, NY 10002, USA",1.0,"['bakery', 'cafe', 'meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Quick Service,https://kossars.com/,(212) 473-4810,4.0,756.0,"Monday: 7:00 AM – 2:00 PM, Tuesday: 7:00 AM – 2:00 PM, Wednesday: 7:00 AM – 2:00 PM, Thursday: 7:00 AM – 2:00 PM, Friday: 7:00 AM – 2:00 PM, Saturday: 7:00 AM – 2:00 PM, Sunday: 7:00 AM – 2:00 PM",BB1
The Flower Shop 10002 greater NYC area,The Flower Shop,"107 Eldridge St, New York, NY 10002, USA",2.0,"['bar', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://theflowershopnyc.com/,(212) 257-4072,4.3,603.0,"Monday: Closed, Tuesday: 5:00 PM – 2:00 AM, Wednesday: 5:00 PM – 2:00 AM, Thursday: 5:00 PM – 2:00 AM, Friday: 5:00 PM – 2:00 AM, Saturday: 5:00 PM – 2:00 AM, Sunday: Closed",BB2
Ear Inn 10013 greater NYC area,Ear Inn,"326 Spring St, New York, NY 10013, USA",2.0,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,http://theearinn.com/,(212) 226-9060,4.6,1385.0,"Monday: 11:30 AM – 4:00 AM, Tuesday: 11:30 AM – 4:00 AM, Wednesday: 11:30 AM – 4:00 AM, Thursday: 11:30 AM – 4:00 AM, Friday: 11:30 AM – 4:00 AM, Saturday: 11:30 AM – 4:00 AM, Sunday: 11:30 AM – 4:00 AM",BB3
Ground Support Cafe 10038 greater NYC area,Ground Support Cafe,"399 W Broadway, New York, NY 10012, USA",2.0,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",Unknown,https://ground-support.square.site/,(212) 219-8722,4.3,865.0,"Monday: 7:00 AM – 6:00 PM, Tuesday: 7:00 AM – 6:00 PM, Wednesday: 7:00 AM – 6:00 PM, Thursday: 7:00 AM – 6:00 PM, Friday: 7:00 AM – 6:00 PM, Saturday: 8:00 AM – 6:00 PM, Sunday: 8:00 AM – 6:00 PM",BB2
Smile To Go 10012 greater NYC area,Smile To Go,"22 Howard St, New York, NY 10013, USA",2.0,"['cafe', 'food', 'point_of_interest', 'establishment']",Unknown,https://www.smiletogonyc.com/,(646) 863-3893,4.0,129.0,"Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: 10:00 AM – 4:00 PM, Sunday: 10:00 AM – 4:00 PM",BB2
Houseman 10013 greater NYC area,Houseman,"508 Greenwich St, New York, NY 10013, USA",2.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,http://housemanrestaurant.com/,(212) 641-0654,4.4,294.0,"Monday: Closed, Tuesday: 12:00 – 9:30 PM, Wednesday: 12:00 – 9:30 PM, Thursday: 12:00 – 9:30 PM, Friday: 12:00 – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 11:00 AM – 8:30 PM",BB1
Rintintin 10012 greater NYC area,Rintintin,"14 Spring St, New York, NY 10012, USA",2.0,"['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,,(917) 261-6593,4.1,706.0,"Monday: 11:00 AM – 1:00 AM, Tuesday: 11:00 AM – 1:00 AM, Wednesday: 11:00 AM – 1:00 AM, Thursday: 11:00 AM – 2:00 AM, Friday: 11:00 AM – 2:00 AM, Saturday: 11:00 AM – 2:00 AM, Sunday: 11:00 AM – 12:00 AM",BB3
Smyth Tavern 10007 greater NYC area,Smyth Tavern,"85 W Broadway, New York, NY 10007, USA",4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Full Service,https://www.smythtavern.com/,(646) 813-9090,4.2,158.0,"Monday: 7:00 AM – 10:00 PM, Tuesday: 7:00 AM – 10:00 PM, Wednesday: 7:00 AM – 10:00 PM, Thursday: 7:00 AM – 10:00 PM, Friday: 7:00 AM – 10:30 PM, Saturday: 7:00 AM – 10:30 PM, Sunday: 7:00 AM – 10:00 PM",BB1
Chang Lai Fishballs & Noodles 10038 greater NYC area,Chang Lai Fishballs Noodles,"55 Bayard St Store B, New York, NY 10013, USA",1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,,(917) 378-3991,4.9,627.0,"Monday: 8:00 AM – 5:30 PM, Tuesday: 8:00 AM – 5:30 PM, Wednesday: 8:00 AM – 5:30 PM, Thursday: 8:00 AM – 5:30 PM, Friday: 8:00 AM – 5:30 PM, Saturday: 8:00 AM – 5:30 PM, Sunday: 8:00 AM – 5:30 PM",BB1
Haven Café 10013 greater NYC area,Haven Café,"147 Mott St, New York, NY 10013, USA",1.0,"['cafe', 'food', 'point_of_interest', 'establishment']",Unknown,,(646) 207-6574,4.9,118.0,,BB2
Petrarca 10013 greater NYC area,Petrarca Cucina e Vino,"34 White St, New York, NY 10013, USA",3.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Full Service,http://www.petrarcatribeca.com/,(212) 625-2800,4.4,417.0,"Monday: 12:00 – 10:00 PM, Tuesday: 12:00 – 10:00 PM, Wednesday: 11:30 AM – 10:00 PM, Thursday: 12:00 – 10:00 PM, Friday: 12:00 – 10:00 PM, Saturday: 12:00 – 10:00 PM, Sunday: 12:00 – 10:00 PM",BB3
Rosella's Pizzeria 10038 greater NYC area,Rosella's Pizzeria,"164 William St, New York, NY 10038, USA",1.0,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://www.rosellaspizzany.com/,(212) 619-8260,4.3,735.0,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM",BB1
Attaboy 10002 greater NYC area,Attaboy,"134 Eldridge St, New York, NY 10002, USA",3.0,"['bar', 'point_of_interest', 'establishment']",Full Service,http://attaboy.us/nyc,,4.3,1663.0,"Monday: 5:00 PM – 3:00 AM, Tuesday: 5:00 PM – 3:00 AM, Wednesday: 5:00 PM – 3:00 AM, Thursday: 5:00 PM – 3:00 AM, Friday: 5:00 PM – 3:00 AM, Saturday: 5:00 PM – 3:00 AM, Sunday: 5:00 PM – 3:00 AM",BB3
Other Half Brewing 11231 greater NYC area,Other Half Brewing Company,"195 Centre St, Brooklyn, NY 11231, USA",,"['food', 'point_of_interest', 'establishment']",Unknown,http://otherhalfbrewing.com/,(212) 564-6065,4.7,1431.0,"Monday: 12:00 – 10:00 PM, Tuesday: 12:00 – 10:00 PM, Wednesday: 12:00 – 10:00 PM, Thursday: 12:00 – 10:00 PM, Friday: 12:00 PM – 12:00 AM, Saturday: 10:00 AM – 12:00 AM, Sunday: 11:00 AM – 9:00 PM",BB2
The Binc 10038 greater NYC area,The Binc,"60 Henry St, Brooklyn, NY 11201, USA",2.0,"['bar', 'point_of_interest', 'establishment']",Unknown,https://thebinc.com/,,4.5,311.0,"Monday: 5:00 PM – 1:00 AM, Tuesday: 5:00 PM – 1:00 AM, Wednesday: 5:00 PM – 1:00 AM, Thursday: 5:00 PM – 1:00 AM, Friday: 5:00 PM – 1:00 AM, Saturday: 5:00 PM – 1:00 AM, Sunday: 5:00 PM – 1:00 AM",BB3
TAGMO 10038 greater NYC area,TAGMO,"226 Front St, New York, NY 10038, USA",2.0,"['food', 'store', 'point_of_interest', 'establishment']",Unknown,http://www.tagmonyc.com/,(917) 392-9662,4.3,186.0,"Monday: 9:00 AM – 5:00 PM, Tuesday: 9:00 AM – 5:00 PM, Wednesday: 9:00 AM – 5:00 PM, Thursday: 9:00 AM – 5:00 PM, Friday: 9:00 AM – 5:00 PM, Saturday: Closed, Sunday: Closed",BB2
Chambers 10007 greater NYC area,Chambers Street,"Chambers St, New York, NY, USA",,['route'],Unknown,,,,,,Not a restaurant
Cha Kee 10013 greater NYC area,Cha Kee,"43 Mott St, New York, NY 10013, USA",,"['restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,https://www.chakeenyc.com/,(212) 577-2888,3.9,39.0,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 10:00 PM, Friday: 5:00 – 10:30 PM, Saturday: 5:00 – 10:30 PM, Sunday: 5:00 – 10:00 PM",BB1
CarnsMedia 10013 greater NYC area,CarnsMedia,"433 Broadway, New York, NY 10013, USA",,"['point_of_interest', 'establishment']",Unknown,http://carnsmedia.com/,(917) 626-1967,5.0,7.0,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",Not a restaurant
Crispy 10002 greater NYC area,Crispy New York,"41 Monroe St, New York, NY 10002, USA",2.0,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://crispynewyork.com/,(646) 707-3010,4.9,71.0,"Monday: 8:00 AM – 10:00 PM, Tuesday: 8:00 AM – 10:00 PM, Wednesday: 8:00 AM – 10:00 PM, Thursday: 8:00 AM – 10:00 PM, Friday: 8:00 AM – 10:00 PM, Saturday: 8:00 AM – 10:00 PM, Sunday: 8:00 AM – 10:00 PM",BB1
Terra Blues 10012 greater NYC area,Terra Blues,"149 Bleecker St, New York, NY 10012, USA",2.0,"['bar', 'point_of_interest', 'establishment']",Unknown,http://www.terrablues.com/,(212) 777-7776,4.7,1229.0,"Monday: 6:30 PM – 2:00 AM, Tuesday: 6:30 PM – 2:00 AM, Wednesday: 6:30 PM – 2:00 AM, Thursday: 6:30 PM – 2:00 AM, Friday: 6:30 PM – 3:00 AM, Saturday: 6:00 PM – 3:00 AM, Sunday: 6:30 PM – 2:00 AM",BB3
Canary Club 10002 greater NYC area,Canary Club,"303 Broome St, New York, NY 10002, USA",,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",Likely Full Service,,(646) 355-8591,4.4,197.0,,BB3
Le Coucou 10013 greater NYC area,Le Coucou,"138 Lafayette St, New York, NY 10013, USA",4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Full Service,https://www.lecoucou.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,(212) 271-4252,4.5,1750.0,"Monday: 11:30 AM – 2:00 PM, 5:00 – 10:00 PM, Tuesday: 11:30 AM – 2:00 PM, 5:00 – 10:00 PM, Wednesday: 11:30 AM – 2:00 PM, 5:00 – 10:00 PM, Thursday: 11:30 AM – 2:00 PM, 5:00 – 10:00 PM, Friday: 11:30 AM – 2:00 PM, 5:00 – 11:00 PM, Saturday: 11:30 AM – 2:30 PM, 5:00 – 11:00 PM, Sunday: 11:30 AM – 2:00 PM, 5:00 – 10:00 PM",BB1
The Dutch 10012 greater NYC area,The Dutch,"131 Sullivan St, New York, NY 10012, USA",3.0,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",Full Service,http://www.thedutchnyc.com/,(212) 677-6200,4.3,2183.0,"Monday: 12:00 – 10:00 PM, Tuesday: 12:00 – 10:00 PM, Wednesday: 12:00 – 10:00 PM, Thursday: 12:00 – 11:00 PM, Friday: 12:00 – 11:00 PM, Saturday: 10:00 AM – 11:00 PM, Sunday: 10:00 AM – 10:00 PM",BB3
Hirohisa 10012 greater NYC area,Hirohisa,"73 Thompson St, New York, NY 10012, USA",4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Full Service,https://www.hirohisa.nyc/,(212) 925-1613,4.4,277.0,"Monday: Closed, Tuesday: 5:30 – 10:00 PM, Wednesday: 12:00 – 1:00 PM, 5:30 – 10:00 PM, Thursday: 12:00 – 1:00 PM, 5:30 – 10:00 PM, Friday: 12:00 – 1:00 PM, 5:30 – 10:00 PM, Saturday: 5:30 – 10:00 PM, Sunday: Closed",BB1
Creative Culinary Management 10038 greater NYC area,Culinary Agents,"500 7th Ave 8th floor, New York, NY 10016, USA",,"['point_of_interest', 'establishment']",Unknown,https://culinaryagents.com/,(646) 770-1213,4.6,34.0,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",Not a restaurant
The Meatball Shop - Hell’s Kitchen 10002 greater NYC area,The Meatball Shop - Hell's Kitchen,"798 9th Ave, New York, NY 10019, USA",2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://www.themeatballshop.com/,(212) 230-5860,4.5,1602.0,"Monday: 12:00 – 11:00 PM, Tuesday: 12:00 – 11:00 PM, Wednesday: 12:00 – 11:00 PM, Thursday: 12:00 – 11:00 PM, Friday: 12:00 PM – 12:00 AM, Saturday: 11:30 AM – 12:00 AM, Sunday: 11:30 AM – 11:00 PM",BB1
Tres Leches Cafe Downtown 10038 greater NYC area,Tres Leches Cafe Downtown,"160 Orchard St, New York, NY 10002, USA",,"['bakery', 'point_of_interest', 'store', 'food', 'establishment']",Unknown,http://treslechescafe.com/,(917) 675-7760,4.7,130.0,"Monday: 9:00 AM – 7:00 PM, Tuesday: 9:00 AM – 7:00 PM, Wednesday: 9:00 AM – 7:00 PM, Thursday: 9:00 AM – 7:00 PM, Friday: 9:00 AM – 7:00 PM, Saturday: 9:00 AM – 7:00 PM, Sunday: Closed",BB2
19 Cleveland 10012 greater NYC area,19 Cleveland Pl,"19 Cleveland Pl, New York, NY 10012, USA",,['premise'],Unknown,,,,,,Not a restaurant
The Folly 10012 greater NYC area,The Folly,"92 W Houston St, New York, NY 10012, USA",2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://www.follynyc.com/,(646) 726-4740,4.4,505.0,"Monday: 3:00 PM – 12:00 AM, Tuesday: 3:00 PM – 12:00 AM, Wednesday: 3:00 PM – 12:00 AM, Thursday: 3:00 PM – 2:00 AM, Friday: 1:00 PM – 4:00 AM, Saturday: 1:00 PM – 4:00 AM, Sunday: 3:00 PM – 12:00 AM",BB3
Cobi's 90405 greater NYC area,Cobi's,"2104 Main St, Santa Monica, CA 90405, USA",2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://www.cobis.la/,(424) 238-5195,4.5,486.0,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 11:00 PM, Friday: 5:00 – 11:00 PM, Saturday: 10:30 AM – 2:30 PM, 5:00 – 11:00 PM, Sunday: 10:30 AM – 2:30 PM, 5:00 – 10:00 PM",BB1
