whole name,Name,Address,Price Level,Types,Category,Website,Phone Number,Rating,Review Count,Opening Hours,Email,POS System,Loyalty Programs,Reservation Platform,Review Text,Review Author,Review Rating,Poem,Popular Dish/Drink
Merchant Roots,Merchant Roots,"1148 Mission St, San Francisco, CA 94103, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.merchantroots.com/,,4.6,138,"Monday: Closed, Tuesday: Closed, Wednesday: 5:30 – 8:00 PM, Thursday: 5:30 – 8:00 PM, Friday: 5:30 – 8:00 PM, Saturday: 5:30 – 8:00 PM, Sunday: 5:30 – 8:00 PM",madison@merchantroots.com,,,Tock,"My coworker had booked this amazing food experience a couple months in advance. The reviews were so positive I couldn't wait to try what was on the menu. I love a good 12 course/bougie meal so I definitely couldn't pass this up! From the second we all walked in,the service and attention to detail was immaculate. One of my coworkers had a tomato allergy and I am so grateful that they accomodated her esp for the theme of pasta&stories. I don't like to drink so I had the 12 course meal with non alcoholic pairing and each dish& drink was so thoughtful and carefully curated. I don't want to spoil it but I am not a pasta person but after the dinner,I am sold. Pasta all day!!!😍 I can't wait to attend again!",Lainaboo,5,Paragraph #1:,"Merchant Roots, a feast for the senses
Plates of art, flavors intense
Service superb, attention immense 
Transporting guests to realms immense

Paragraph #2: 
pasta"
Merchant Roots,Merchant Roots,"1148 Mission St, San Francisco, CA 94103, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.merchantroots.com/,,4.6,138,"Monday: Closed, Tuesday: Closed, Wednesday: 5:30 – 8:00 PM, Thursday: 5:30 – 8:00 PM, Friday: 5:30 – 8:00 PM, Saturday: 5:30 – 8:00 PM, Sunday: 5:30 – 8:00 PM",lisa@lisanourse.com,,,Tock,"My coworker had booked this amazing food experience a couple months in advance. The reviews were so positive I couldn't wait to try what was on the menu. I love a good 12 course/bougie meal so I definitely couldn't pass this up! From the second we all walked in,the service and attention to detail was immaculate. One of my coworkers had a tomato allergy and I am so grateful that they accomodated her esp for the theme of pasta&stories. I don't like to drink so I had the 12 course meal with non alcoholic pairing and each dish& drink was so thoughtful and carefully curated. I don't want to spoil it but I am not a pasta person but after the dinner,I am sold. Pasta all day!!!😍 I can't wait to attend again!",Lainaboo,5,Paragraph #1:,"Merchant Roots, a feast for the senses
Plates of art, flavors intense
Service superb, attention immense 
Transporting guests to realms immense

Paragraph #2: 
pasta"
Otra,Otra,"682 Haight St, San Francisco, CA 94117, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,https://www.otrasf.com/,,4.6,329,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 10:00 PM, Friday: 5:00 – 10:00 PM, Saturday: 5:00 – 10:00 PM, Sunday: 5:00 – 10:00 PM",info@otrasf.com,Toast,,,"Otra has really nice options for breakfast and lunch! Their food features a modern Mexican style, which I really enjoy. I like that the dishes can be either spicy or mildly spicy, and they’re happy to give you options!",Alex Méndez M,5,Here is the poem referencing the restaurant name and highlights from the reviews:,"Otra place to enjoy
Pepitas on salad bring joy 
Mussels swim in broth
Aguachile cream just right
Though some dishes cause plight
Kampachi fresh delight

The most mentioned dish/drink name is:

aguachile"
Pasta Supply Co,Pasta Supply Co,"236 Clement St, San Francisco, CA 94118, USA",,"restaurant, food, point_of_interest, establishment",BB1,http://www.pastasupplyco.com/,(415) 236-2668,4.6,229,"Monday: 10:00 AM – 9:00 PM, Tuesday: 10:00 AM – 9:00 PM, Wednesday: 10:00 AM – 9:00 PM, Thursday: 10:00 AM – 9:00 PM, Friday: 10:00 AM – 9:00 PM, Saturday: 10:00 AM – 9:00 PM, Sunday: 9:00 AM – 9:00 PM",PASTASUPPLYCOHELLO@PASTASUPPLYCO.COM,,,OpenTable,"I came here with my family, and it’s a great fast-casual spot! The host at the front was super friendly and took our orders before seating us, which seems to be their usual process. Because of this setup, there’s no service charge, which was a nice surprise.

Once seated, the staff brought the food directly to our table, and we enjoyed every dish. The appetizers, in particular, were a standout—they were definitely our favorites over the mains. Overall, it was a great experience, and we’ll definitely be back!",Valerie,5,"Here is the poem referencing the restaurant and reviews in paragraph 1, and the most mentioned dish/drink in paragraph 2:","Pasta galore at our store
Flavors so rich, prices not poor
Friendly hosts seat without chore 
Veggies and sauces we all adore

pasta"
Piglet & Co,Piglet & Co,"2170 Mission St, San Francisco, CA 94110, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.pigletandco.com/,,4.5,125,"Monday: Closed, Tuesday: Closed, Wednesday: 5:00 – 9:00 PM, Thursday: 5:00 – 9:00 PM, Friday: 5:00 – 9:30 PM, Saturday: 5:00 – 9:30 PM, Sunday: 11:00 AM – 2:00 PM",dining@pigletandco.com,Toast,,OpenTable,"Found this place last year while visiting the city and it peaked my interest seeing a Taiwanese fusion restaurant. You don’t see this often, so we had to check it out being Taiwanese myself.

I love what they are trying to do with Taiwanese food. Elevating dishes and new takes on some traditional comfort foods. The milk tea French toast was honestly my favorite. The boba was on point, the toast was nicely fried on the outside and soft on the inside. And the jam really pulled everything together. The rice porridge and lu ro fan were good, however, the portions were a bit small for the price. I think if this can be balanced it would be perfect.

Overall, I’d come back again to try their other popular dishes. They do rotate their menu, so there’s always something different they offer.",Vincent Chen,5,"Here is the poem referencing the restaurant and review highlights, followed by the most mentioned dish:","Piglet brings the flavors, fusion done right
Taiwanese cuisine with a modern bite
Milk tea French toast and lu rou fan
Creative dishes for the adventurous clan

lu rou fan"
Piglet & Co,Piglet & Co,"2170 Mission St, San Francisco, CA 94110, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.pigletandco.com/,,4.5,125,"Monday: Closed, Tuesday: Closed, Wednesday: 5:00 – 9:00 PM, Thursday: 5:00 – 9:00 PM, Friday: 5:00 – 9:30 PM, Saturday: 5:00 – 9:30 PM, Sunday: 11:00 AM – 2:00 PM",pr@pigletandco.com,Toast,,OpenTable,"Found this place last year while visiting the city and it peaked my interest seeing a Taiwanese fusion restaurant. You don’t see this often, so we had to check it out being Taiwanese myself.

I love what they are trying to do with Taiwanese food. Elevating dishes and new takes on some traditional comfort foods. The milk tea French toast was honestly my favorite. The boba was on point, the toast was nicely fried on the outside and soft on the inside. And the jam really pulled everything together. The rice porridge and lu ro fan were good, however, the portions were a bit small for the price. I think if this can be balanced it would be perfect.

Overall, I’d come back again to try their other popular dishes. They do rotate their menu, so there’s always something different they offer.",Vincent Chen,5,"Here is the poem referencing the restaurant and review highlights, followed by the most mentioned dish:","Piglet brings the flavors, fusion done right
Taiwanese cuisine with a modern bite
Milk tea French toast and lu rou fan
Creative dishes for the adventurous clan

lu rou fan"
Piglet & Co,Piglet & Co,"2170 Mission St, San Francisco, CA 94110, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.pigletandco.com/,,4.5,125,"Monday: Closed, Tuesday: Closed, Wednesday: 5:00 – 9:00 PM, Thursday: 5:00 – 9:00 PM, Friday: 5:00 – 9:30 PM, Saturday: 5:00 – 9:30 PM, Sunday: 11:00 AM – 2:00 PM",hr@pigletandco.com,Toast,,OpenTable,"Found this place last year while visiting the city and it peaked my interest seeing a Taiwanese fusion restaurant. You don’t see this often, so we had to check it out being Taiwanese myself.

I love what they are trying to do with Taiwanese food. Elevating dishes and new takes on some traditional comfort foods. The milk tea French toast was honestly my favorite. The boba was on point, the toast was nicely fried on the outside and soft on the inside. And the jam really pulled everything together. The rice porridge and lu ro fan were good, however, the portions were a bit small for the price. I think if this can be balanced it would be perfect.

Overall, I’d come back again to try their other popular dishes. They do rotate their menu, so there’s always something different they offer.",Vincent Chen,5,"Here is the poem referencing the restaurant and review highlights, followed by the most mentioned dish:","Piglet brings the flavors, fusion done right
Taiwanese cuisine with a modern bite
Milk tea French toast and lu rou fan
Creative dishes for the adventurous clan

lu rou fan"
Piglet & Co,Piglet & Co,"2170 Mission St, San Francisco, CA 94110, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.pigletandco.com/,,4.5,125,"Monday: Closed, Tuesday: Closed, Wednesday: 5:00 – 9:00 PM, Thursday: 5:00 – 9:00 PM, Friday: 5:00 – 9:30 PM, Saturday: 5:00 – 9:30 PM, Sunday: 11:00 AM – 2:00 PM",events@pigletandco.com,Toast,,OpenTable,"Found this place last year while visiting the city and it peaked my interest seeing a Taiwanese fusion restaurant. You don’t see this often, so we had to check it out being Taiwanese myself.

I love what they are trying to do with Taiwanese food. Elevating dishes and new takes on some traditional comfort foods. The milk tea French toast was honestly my favorite. The boba was on point, the toast was nicely fried on the outside and soft on the inside. And the jam really pulled everything together. The rice porridge and lu ro fan were good, however, the portions were a bit small for the price. I think if this can be balanced it would be perfect.

Overall, I’d come back again to try their other popular dishes. They do rotate their menu, so there’s always something different they offer.",Vincent Chen,5,"Here is the poem referencing the restaurant and review highlights, followed by the most mentioned dish:","Piglet brings the flavors, fusion done right
Taiwanese cuisine with a modern bite
Milk tea French toast and lu rou fan
Creative dishes for the adventurous clan

lu rou fan"
Prubechu,Prubechu,"2224 Mission St #A, San Francisco, CA 94110, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.prubechu.com/,(415) 853-0671,4.6,430,"Monday: Closed, Tuesday: Closed, Wednesday: 12:00 – 3:00 PM, 5:00 – 9:30 PM, Thursday: 12:00 – 3:00 PM, 5:00 – 9:30 PM, Friday: 12:00 – 3:00 PM, 5:00 – 9:30 PM, Saturday: 12:00 – 3:00 PM, 5:00 – 9:30 PM, Sunday: 11:00 AM – 3:00 PM",info@prubechu.com,Toast,,Resy,"We enjoyed the live music on the patio on a Thursday night. A talented acoustic guitarist, not too loud that it disrupted conversation. For food, the noodle dish - Tataki(?) - was SO good. Mushroomy and delicious, a large serving. We ordered three things between two people and were stuffed, had to take it to go. I didn’t like the Koko wings very much — the spice coating was a bit dry and the meat over cooked. I also didn’t love the Chicken Kelaguen; they didn’t have enough flavor. But rhetorical noodles, yum. Service was extremely good, almost overly attentive. They have a good mocktail/NA menu.",Julia Enthoven,5,"Here is the poem referencing the restaurant and review highlights, followed by the most mentioned dish:","Prubechu, a taste of Guam
Sweet rolls, wings, and tender brisket
Island flavors under the stars
Live music flowing, a feast for the heart

Thrice-cooked Brisket"
Rintaro,Rintaro,"82 14th St, San Francisco, CA 94103, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,http://izakayarintaro.com/,(415) 589-7022,4.6,1171,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 10:00 PM, Friday: 5:00 – 10:00 PM, Saturday: 5:00 – 10:00 PM, Sunday: Closed",,,,,"We didn’t get the tasting menu but ordered most dishes off of it, plus a deluxe sashimi and oden.
Would def recommend the chicken skewer with egg dip, black cod, and the hojicha panna cotta was the highlight.
The deluxe sashimi was quite overpriced for what it was, and the oden and other skewers were just fine.
Lovely vibe tho!",Ingrid,5,"Here is the poem referencing Rintaro and the reviews, followed by the most mentioned dish:","Rintaro's delights, savory bites
Skewers and cod, oden that's odd  
Smooth hojicha panna cotta the spotta
Hit of the night, creamy delight

hojicha panna cotta"
Sandy's,Sandy's,"1457 Haight St, San Francisco, CA 94117, USA",2.0,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",BB1,http://www.sandyssf.com/,(415) 655-9691,4.9,284,"Monday: 11:00 AM – 4:00 PM, Tuesday: Closed, Wednesday: 11:00 AM – 4:00 PM, Thursday: 11:00 AM – 4:00 PM, Friday: 11:00 AM – 4:00 PM, Saturday: 10:00 AM – 5:00 PM, Sunday: 10:00 AM – 4:00 PM",info@sandyssf.com,Toast,,,"Very unique sandwich place! We got the egg salad and the classic sandwich. Only issue with both was one component tasted so strongly that it was hard to taste the other ingredients. For example, the classic sandwich had an olive spread which was delicious but I couldn’t taste the ham and cheese well because of it.",Kavya Yellamraju,5,"**Okurrr! Let me tell you about Sandy’s in New Orleans, ’cause this spot is straight fire, baby!**","First of all, when you walk in, the vibe is on point—real cozy, real chill. And Tala at the register? She’s a whole mood, honey! Friendly, quick with a smile, and makes you feel like you’re part of the fam, ya feel me?  

Now, let’s get into that muffuletta, ’cause this sandwich? It’s giving EVERYTHING it’s supposed to give, okurrr! We’re talking layers on layers of that good-good—flavorful meats, melty cheese, and that olive salad? Whew, it’s spicy, it’s zesty, it’s EVERYTHING! And don’t even get me started on the bread—it’s crispy, it’s soft, it’s perfection!

If you’re in New Orleans and you ain’t hit up Sandy’s yet, what is you doin’, baby? This muffuletta is a whole experience, and you need it in your life! So, go on, treat yourself, and thank me later! Period!

muffuletta"
Scoma's Restaurant,Scoma's Restaurant,"1965 Al Scoma Way, San Francisco, CA 94133, USA",3.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",BB1,https://scomas.com/,(415) 771-4383,4.6,6100,"Monday: 12:00 – 9:00 PM, Tuesday: 12:00 – 9:00 PM, Wednesday: 12:00 – 9:00 PM, Thursday: 12:00 – 9:00 PM, Friday: 12:00 – 9:30 PM, Saturday: 12:00 – 9:30 PM, Sunday: 12:00 – 9:00 PM",,,,,"This place is amazing. Great food, service and vibe next to the water. Seafood straight from the boat.  Went here for lunch for my wife’s birthday. Complimentary valet parking. We had the crab, fish and mussel. Good coffee. All delicious. Can’t go wrong with Frank Sinatra Theme from New York, New York. David our server and John our valet were amazing. Feel like this is great cozy place for real locals. Other restaurants on pier for tourists. I’d definitely go back.",David Lee,5,"Here is the poem and most popular dish, in two paragraphs as requested:","Scoma's by the bay,
Serving seafood fresh each day.
Lemon shrimp and mussels with wine,  
Crab and clams so divine!
Birthday cake here is a delight, 
With a view to make your heart take flight.

mussels"
Thanh Long,Thanh Long Restaurant,"4101 Judah St, San Francisco, CA 94122, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.thanhlongsf.com/,(415) 665-1146,4.5,1490,"Monday: Closed, Tuesday: Closed, Wednesday: 4:30 – 8:00 PM, Thursday: 4:30 – 8:00 PM, Friday: 4:30 – 8:30 PM, Saturday: 4:30 – 9:00 PM, Sunday: 4:30 – 8:00 PM",sfthanhlong@gmail.com,,,Tock,"Really great crab! Right when you walk in, you’re punched in the face with an incredibly fragrant garlic aroma. Sides and apps were great, but the star of the show was this incredible dungeoness crab. Wow. Garlicky, peppery, buttery, and just hot enough to have to take care (at the beginning). A true feast for the senses. Smell, texture, sight, taste - everything is activated simultaneously when this dish arrives. Not much else to report. Just a simple, excellent crab dish and worth repeating as often as possible.",Michael Demetriou,5,Here is the poem referencing the restaurant name and highlights from the reviews:,"Garlic aroma punching your face
Buttery, peppery dungeon crab race
Shrimp toast and beef to devour
Passion tea to wash it all down
Thanh Long will spice up your town

dungeoness crab"
Tommy's Joynt,Tommy's Joynt,"1101 Geary Blvd, San Francisco, CA 94109, USA",1.0,"restaurant, bar, food, point_of_interest, establishment",BB3,https://tommysjoynt.com/,(415) 949-0399,4.4,3950,"Monday: 12:00 – 8:00 PM, Tuesday: 12:00 – 8:00 PM, Wednesday: 12:00 – 8:00 PM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 1:00 PM – 12:00 AM, Sunday: 12:00 – 8:00 PM",Turkey@Tommysjoynt.com,,,,"I wanted to try something new, I always past by this place, so I finally tried it. They have a serving counter where they make your plate in front of you. I enjoyed the turkey sloppy Joe; I felt like I was back at Grandma's house. The interior is hip, I liked the decor. People had there children eating there too, so it is family friendly. Try something new!",Morl Olivia Gentry,5,"Here is the poem referencing Tommy's Joynt and review highlights, followed by the most mentioned dish:","Ode to Tommy's Joynt
With counters piled high, plates made before your eyes
Grandma's sloppy Joe brings back memories of pies
The Reuben though, swimming in dressing, no zing to the kraut
Stale bread and cold meat brought disappointment, no doubt
This classic joint's decor delight, but the pastrami was not right

pastrami"
Tommy's Joynt,Tommy's Joynt,"1101 Geary Blvd, San Francisco, CA 94109, USA",1.0,"restaurant, bar, food, point_of_interest, establishment",BB3,https://tommysjoynt.com/,(415) 949-0399,4.4,3950,"Monday: 12:00 – 8:00 PM, Tuesday: 12:00 – 8:00 PM, Wednesday: 12:00 – 8:00 PM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 1:00 PM – 12:00 AM, Sunday: 12:00 – 8:00 PM",info@tommysjoynt.com,,,,"I wanted to try something new, I always past by this place, so I finally tried it. They have a serving counter where they make your plate in front of you. I enjoyed the turkey sloppy Joe; I felt like I was back at Grandma's house. The interior is hip, I liked the decor. People had there children eating there too, so it is family friendly. Try something new!",Morl Olivia Gentry,5,"Here is the poem referencing Tommy's Joynt and review highlights, followed by the most mentioned dish:","Ode to Tommy's Joynt
With counters piled high, plates made before your eyes
Grandma's sloppy Joe brings back memories of pies
The Reuben though, swimming in dressing, no zing to the kraut
Stale bread and cold meat brought disappointment, no doubt
This classic joint's decor delight, but the pastrami was not right

pastrami"
Tommy's Joynt,Tommy's Joynt,"1101 Geary Blvd, San Francisco, CA 94109, USA",1.0,"restaurant, bar, food, point_of_interest, establishment",BB3,https://tommysjoynt.com/,(415) 949-0399,4.4,3950,"Monday: 12:00 – 8:00 PM, Tuesday: 12:00 – 8:00 PM, Wednesday: 12:00 – 8:00 PM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 1:00 PM – 12:00 AM, Sunday: 12:00 – 8:00 PM",Events@TommysJoynt.com,,,,"I wanted to try something new, I always past by this place, so I finally tried it. They have a serving counter where they make your plate in front of you. I enjoyed the turkey sloppy Joe; I felt like I was back at Grandma's house. The interior is hip, I liked the decor. People had there children eating there too, so it is family friendly. Try something new!",Morl Olivia Gentry,5,"Here is the poem referencing Tommy's Joynt and review highlights, followed by the most mentioned dish:","Ode to Tommy's Joynt
With counters piled high, plates made before your eyes
Grandma's sloppy Joe brings back memories of pies
The Reuben though, swimming in dressing, no zing to the kraut
Stale bread and cold meat brought disappointment, no doubt
This classic joint's decor delight, but the pastrami was not right

pastrami"
Tommy's Joynt,Tommy's Joynt,"1101 Geary Blvd, San Francisco, CA 94109, USA",1.0,"restaurant, bar, food, point_of_interest, establishment",BB3,https://tommysjoynt.com/,(415) 949-0399,4.4,3950,"Monday: 12:00 – 8:00 PM, Tuesday: 12:00 – 8:00 PM, Wednesday: 12:00 – 8:00 PM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 1:00 PM – 12:00 AM, Sunday: 12:00 – 8:00 PM",turkey@TommysJoynt.com,,,,"I wanted to try something new, I always past by this place, so I finally tried it. They have a serving counter where they make your plate in front of you. I enjoyed the turkey sloppy Joe; I felt like I was back at Grandma's house. The interior is hip, I liked the decor. People had there children eating there too, so it is family friendly. Try something new!",Morl Olivia Gentry,5,"Here is the poem referencing Tommy's Joynt and review highlights, followed by the most mentioned dish:","Ode to Tommy's Joynt
With counters piled high, plates made before your eyes
Grandma's sloppy Joe brings back memories of pies
The Reuben though, swimming in dressing, no zing to the kraut
Stale bread and cold meat brought disappointment, no doubt
This classic joint's decor delight, but the pastrami was not right

pastrami"
Zuni Cafe,Zuni Café,"1658 Market St, San Francisco, CA 94102, USA",3.0,"cafe, bar, restaurant, food, point_of_interest, establishment",BB3,http://www.zunicafe.com/,(415) 552-2522,4.4,2341,"Monday: Closed, Tuesday: 5:00 – 9:30 PM, Wednesday: 5:00 – 9:30 PM, Thursday: 5:00 – 9:30 PM, Friday: 11:00 AM – 3:00 PM, 5:00 – 9:30 PM, Saturday: 11:00 AM – 3:00 PM, 5:00 – 9:30 PM, Sunday: 11:00 AM – 3:00 PM, 5:00 – 9:30 PM",,,,,"The location of Zuni within is an absolute gem, wedged on a shear corner lot on Market, the building has authentic bones that gives nearly a 360° perch on this spot in the city.

We ordered the fig popover, lamb chickpea soup of the day, and polenta, all fantastic with unique stand-alone flavor profiles. I loved the soup so much, I will probably go back to buy the cookbook. For a Sunday brunch, the place wasn’t too busy, so the environment was very relaxed.

Lived in the city for five years and always seen the spot while passing through, but finally glad it took a friend visiting to discover this great spot.",Rachel,5,Here is the poem response:,"On Market Street in foggy town
Zuni Cafe of great renown
Historic bones and city views 
Fig popovers can't lose
Lamb soup that makes you grin
Stay awhile and settle in

Here is the most popular dish/drink:

fig popover"
